"election_dt"	"contest_name"	"name_on_ballot"	"party_cd"	"ballot_count"	"FTP_Date"
"11/07/2006"	"NC STATE HOUSE DISTRICT 033"	"Bernard Allen"	"DEM"	12566	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 034"	"Grier Martin"	"DEM"	13596	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 034"	"J. H. Ross"	"REP"	9396	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 035"	"Jennifer Weiss"	"DEM"	13157	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 036"	"Greer Beaty"	"DEM"	11970	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 036"	"Nelson Dollar"	"REP"	12305	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 037"	"Ed Ridpath"	"DEM"	11628	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 037"	"Paul Stam"	"REP"	15459	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 038"	"Deborah K. Ross"	"DEM"	11819	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 039"	"Linda Coleman"	"DEM"	11737	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 039"	"John W. Blackwell"	"REP"	8246	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 004"	"Russell E. Tucker"	"DEM"	6844	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 004"	"Richard J. Kaiser"	"REP"	3985	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 040"	"Marilyn Avila"	"REP"	20556	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 041"	"Ty Harrell"	"DEM"	13051	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 041"	"J. Russell Capps"	"REP"	12224	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 042"	"Marvin W. Lucas"	"DEM"	5610	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 043"	"Mary E. McAllister"	"DEM"	5645	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 044"	"Margaret Highsmith Dickson"	"DEM"	8648	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 045"	"Rick Glazier"	"DEM"	6990	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 045"	"Alex Warner"	"REP"	6375	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 046"	"Douglas Y. Yongue"	"DEM"	7684	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 047"	"Ronnie Sutton"	"DEM"	5791	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 048"	"Garland E. Pierce"	"DEM"	8714	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 049"	"Lucy T. Allen"	"DEM"	9173	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 049"	"Dave Harker"	"REP"	6316	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 005"	"Howard Hunter, Jr."	"DEM"	8125	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 005"	"Kyle Jones"	"REP"	4516	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 050"	"Bill Faison"	"DEM"	12516	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 051"	"Jimmy L. Love, Sr."	"DEM"	8724	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 051"	"Tim McNeill"	"REP"	7383	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 052"	"Joe Boylan"	"REP"	8250	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 052"	"Gerald L. Galloway"	"UNA"	6799	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 052"	"Manila G. (Bud) Shaver"	"UNA"	3958	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 053"	"Frank Stewart"	"DEM"	6846	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 053"	"David Lewis"	"REP"	7763	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 054"	"Joe Hackney"	"DEM"	15649	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 054"	"Alvin Reed"	"REP"	6776	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 055"	"W. A. (Winkie) Wilkins"	"DEM"	14319	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 056"	"Verla C. Insko"	"DEM"	14472	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 057"	"Mary Price (Pricey) Harrison"	"DEM"	9897	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 057"	"Ron Styers"	"REP"	5799	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 058"	"Alma Adams"	"DEM"	10391	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 058"	"Olga Morgan Wright"	"REP"	5441	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 059"	"Maggie Jeffus"	"DEM"	10044	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 059"	"Jim Rumley"	"REP"	6843	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 006"	"Arthur Williams"	"DEM"	10716	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 006"	"Hood Richardson"	"REP"	6368	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 060"	"Earl Jones"	"DEM"	6417	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 060"	"Bill Wright"	"REP"	4285	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 061"	"Laura Wiley"	"REP"	12342	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 062"	"John M. Blust"	"REP"	16116	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 063"	"Alice Bordsen"	"DEM"	8105	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 064"	"Cary D. Allred"	"REP"	12320	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 065"	"Nelson Cole"	"DEM"	9749	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 065"	"Michael Moore"	"REP"	4897	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 066"	"Melanie Wade Goodwin"	"DEM"	9578	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 066"	"David Browder"	"REP"	3999	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 067"	"David Almond"	"REP"	13788	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 068"	"Curtis Blackwood"	"REP"	16837	"12/08/2006"
