,year,chamber,district_number,winner,DEM,REP,LIB,CST,GRE,UNA,REP_wasted,DEM_wasted,wasted,dem_percent
125,2002-01-01,senate,14,DEM,28469.0,14518.0,1117.0,0.0,0.0,0.0,14518.0,13950.0,28468.0,0.662269988601205
126,2002-01-01,senate,15,REP,25581.0,36177.0,1626.0,0.0,0.0,0.0,10595.0,25581.0,36176.0,0.4142135431846886
127,2002-01-01,senate,16,DEM,25799.0,25323.0,1215.0,0.0,0.0,0.0,25323.0,475.0,25798.0,0.5046555299088455
128,2002-01-01,senate,17,REP,20616.0,37076.0,2411.0,0.0,0.0,0.0,16459.0,20616.0,37075.0,0.35734590584483117
129,2002-01-01,senate,18,DEM,27335.0,19706.0,1576.0,0.0,0.0,0.0,19706.0,7628.0,27334.0,0.5810888373971642
130,2002-01-01,senate,19,DEM,25493.0,14741.0,0.0,0.0,0.0,0.0,14741.0,10751.0,25492.0,0.6336183327533926
131,2002-01-01,senate,2,DEM,26011.0,24310.0,0.0,0.0,0.0,0.0,24310.0,1700.0,26010.0,0.5169014924186721
132,2002-01-01,senate,20,DEM,30216.0,0.0,3617.0,0.0,0.0,0.0,0.0,30215.0,30215.0,1.0
133,2002-01-01,senate,21,DEM,16584.0,8293.0,0.0,0.0,0.0,0.0,8293.0,8290.0,16583.0,0.6666398681513044
134,2002-01-01,senate,22,REP,20072.0,24975.0,840.0,0.0,0.0,0.0,4902.0,20072.0,24974.0,0.4455790618687149
135,2002-01-01,senate,23,DEM,37481.0,17686.0,1847.0,0.0,0.0,0.0,17686.0,19794.0,37480.0,0.6794097920858484
136,2002-01-01,senate,24,REP,17299.0,23685.0,0.0,0.0,0.0,0.0,6385.0,17299.0,23684.0,0.42209154792113995
137,2002-01-01,senate,25,DEM,24178.0,17778.0,0.0,0.0,0.0,0.0,17778.0,6399.0,24177.0,0.5762703784917532
138,2002-01-01,senate,26,REP,0.0,40187.0,7264.0,0.0,0.0,0.0,40186.0,0.0,40186.0,0.0
139,2002-01-01,senate,27,DEM,28170.0,20714.0,1272.0,0.0,0.0,0.0,20714.0,7455.0,28169.0,0.5762621716717127
140,2002-01-01,senate,28,DEM,26395.0,14139.0,702.0,0.0,0.0,0.0,14139.0,12255.0,26394.0,0.6511817239848029
141,2002-01-01,senate,29,REP,12932.0,24972.0,728.0,0.0,0.0,0.0,12039.0,12932.0,24971.0,0.3411777121148164
142,2002-01-01,senate,3,DEM,26444.0,12743.0,464.0,0.0,0.0,0.0,12743.0,13700.0,26443.0,0.6748156276316125
143,2002-01-01,senate,30,REP,16842.0,28591.0,1315.0,0.0,0.0,0.0,11748.0,16842.0,28590.0,0.37069971166332844
144,2002-01-01,senate,31,REP,0.0,43590.0,5857.0,0.0,0.0,0.0,43589.0,0.0,43589.0,0.0
145,2002-01-01,senate,32,DEM,28388.0,0.0,0.0,0.0,0.0,0.0,0.0,28387.0,28387.0,1.0
146,2002-01-01,senate,33,REP,0.0,39932.0,0.0,0.0,0.0,0.0,39931.0,0.0,39931.0,0.0
147,2002-01-01,senate,34,REP,17625.0,28593.0,1290.0,0.0,0.0,0.0,10967.0,17625.0,28592.0,0.3813449305465403
148,2002-01-01,senate,35,REP,16903.0,33822.0,0.0,0.0,0.0,0.0,16918.0,16903.0,33821.0,0.33322819122720554
149,2002-01-01,senate,36,REP,13363.0,31428.0,2664.0,0.0,0.0,0.0,18064.0,13363.0,31427.0,0.29834118461298026
150,2002-01-01,senate,37,DEM,23003.0,0.0,0.0,0.0,0.0,0.0,0.0,23002.0,23002.0,1.0
151,2002-01-01,senate,38,DEM,26569.0,0.0,0.0,0.0,0.0,0.0,0.0,26568.0,26568.0,1.0
152,2002-01-01,senate,39,REP,18244.0,37700.0,1919.0,0.0,0.0,0.0,19455.0,18244.0,37699.0,0.3261118261118261
153,2002-01-01,senate,4,DEM,28336.0,0.0,5352.0,0.0,0.0,0.0,0.0,28335.0,28335.0,1.0
154,2002-01-01,senate,40,REP,23704.0,29979.0,1272.0,0.0,0.0,0.0,6274.0,23704.0,29978.0,0.44155505467280143
155,2002-01-01,senate,41,REP,14261.0,30338.0,0.0,0.0,0.0,0.0,16076.0,14261.0,30337.0,0.31976053274737104
156,2002-01-01,senate,42,REP,0.0,36478.0,0.0,0.0,0.0,0.0,36477.0,0.0,36477.0,0.0
157,2002-01-01,senate,43,DEM,18958.0,16805.0,0.0,0.0,0.0,0.0,16805.0,2152.0,18957.0,0.5301009423146827
158,2002-01-01,senate,44,REP,0.0,30278.0,0.0,0.0,0.0,0.0,30277.0,0.0,30277.0,0.0
159,2002-01-01,senate,45,REP,18602.0,32971.0,1768.0,0.0,0.0,0.0,14368.0,18602.0,32970.0,0.3606926104744731
160,2002-01-01,senate,46,DEM,22251.0,19118.0,1072.0,0.0,0.0,0.0,19118.0,3132.0,22250.0,0.5378665184075032
161,2002-01-01,senate,47,DEM,25022.0,24375.0,1619.0,0.0,0.0,0.0,24375.0,646.0,25021.0,0.5065489807073305
162,2002-01-01,senate,48,REP,16291.0,32685.0,0.0,0.0,0.0,0.0,16393.0,16291.0,32684.0,0.3326323097027115
163,2002-01-01,senate,49,DEM,26459.0,20845.0,0.0,0.0,0.0,0.0,20845.0,5613.0,26458.0,0.5593395907322848
164,2002-01-01,senate,5,DEM,22265.0,20992.0,521.0,0.0,0.0,0.0,20992.0,1272.0,22264.0,0.5147143814873893
165,2002-01-01,senate,50,REP,23164.0,30032.0,0.0,0.0,0.0,0.0,6867.0,23164.0,30031.0,0.43544627415595155
166,2002-01-01,senate,6,DEM,14146.0,13175.0,0.0,0.0,0.0,0.0,13175.0,970.0,14145.0,0.5177702133889682
167,2002-01-01,senate,7,DEM,21211.0,18108.0,0.0,0.0,0.0,0.0,18108.0,3102.0,21210.0,0.5394592944886696
168,2002-01-01,senate,8,DEM,28513.0,20993.0,2750.0,0.0,0.0,0.0,20993.0,7519.0,28512.0,0.5759503898517352
169,2002-01-01,senate,9,REP,17381.0,34361.0,1033.0,0.0,0.0,0.0,16979.0,17381.0,34360.0,0.3359166634455568
170,2004-01-01,house,1,DEM,18873.0,0.0,0.0,0.0,0.0,0.0,0.0,18872.0,18872.0,1.0
171,2004-01-01,house,10,REP,10793.0,14529.0,0.0,0.0,0.0,0.0,3735.0,10793.0,14528.0,0.4262301555959245
172,2004-01-01,house,100,DEM,16160.0,0.0,0.0,0.0,0.0,0.0,0.0,16159.0,16159.0,1.0
173,2004-01-01,house,101,DEM,20474.0,0.0,0.0,0.0,0.0,0.0,0.0,20473.0,20473.0,1.0
174,2004-01-01,house,102,DEM,17277.0,0.0,0.0,0.0,0.0,0.0,0.0,17276.0,17276.0,1.0
175,2004-01-01,house,103,REP,12463.0,18195.0,1087.0,0.0,0.0,0.0,5731.0,12463.0,18194.0,0.4065170591688956
176,2004-01-01,house,104,REP,0.0,26125.0,0.0,0.0,0.0,0.0,26124.0,0.0,26124.0,0.0
177,2004-01-01,house,105,REP,0.0,29368.0,0.0,0.0,0.0,0.0,29367.0,0.0,29367.0,0.0
178,2004-01-01,house,106,DEM,17452.0,0.0,0.0,0.0,0.0,0.0,0.0,17451.0,17451.0,1.0
179,2004-01-01,house,107,DEM,16807.0,7836.0,0.0,0.0,0.0,0.0,7836.0,8970.0,16806.0,0.6820192346711034
180,2004-01-01,house,108,REP,7519.0,16505.0,0.0,0.0,0.0,0.0,8985.0,7519.0,16504.0,0.312978687978688
181,2004-01-01,house,109,REP,8577.0,13629.0,0.0,0.0,0.0,0.0,5051.0,8577.0,13628.0,0.38624696028100514
182,2004-01-01,house,11,REP,0.0,20120.0,0.0,0.0,0.0,0.0,20119.0,0.0,20119.0,0.0
183,2004-01-01,house,110,REP,8448.0,14690.0,0.0,0.0,0.0,0.0,6241.0,8448.0,14689.0,0.36511366583110033
184,2004-01-01,house,111,REP,11565.0,14392.0,0.0,0.0,0.0,0.0,2826.0,11565.0,14391.0,0.44554455445544555
185,2004-01-01,house,112,DEM,16681.0,10171.0,408.0,0.0,0.0,0.0,10171.0,6509.0,16680.0,0.6212200208550573
186,2004-01-01,house,113,REP,0.0,24016.0,0.0,0.0,0.0,0.0,24015.0,0.0,24015.0,0.0
187,2004-01-01,house,114,DEM,19098.0,11729.0,0.0,0.0,0.0,0.0,11729.0,7368.0,19097.0,0.6195218477308853
188,2004-01-01,house,115,DEM,20957.0,13002.0,999.0,0.0,0.0,0.0,13002.0,7954.0,20956.0,0.6171265349391913
189,2004-01-01,house,116,REP,12149.0,20030.0,0.0,0.0,0.0,0.0,7880.0,12149.0,20029.0,0.3775443612293732
190,2004-01-01,house,117,REP,10111.0,21650.0,0.0,0.0,0.0,0.0,11538.0,10111.0,21649.0,0.3183463996725544
191,2004-01-01,house,118,DEM,21110.0,0.0,0.0,0.0,0.0,0.0,0.0,21109.0,21109.0,1.0
192,2004-01-01,house,119,DEM,14147.0,13195.0,0.0,0.0,0.0,0.0,13195.0,951.0,14146.0,0.5174091141833077
193,2004-01-01,house,12,DEM,13573.0,7473.0,0.0,0.0,0.0,0.0,7473.0,6099.0,13572.0,0.6449206500047515
194,2004-01-01,house,120,REP,0.0,22375.0,0.0,0.0,0.0,0.0,22374.0,0.0,22374.0,0.0
